,seed,n_frames,min_lambda,min_loss,min_avg,gbar,lim_loss,lim_loss_num,lim_chi2,lim_dkl,dV
0,0,10,[-6.39080063],2.443497657775879,[0.54961065],0.6520000225650686,2.6767147030298233,2.6767135,3.050845,2.3025818,0.2332158088684082
1,1,10,[-7.46408149],2.8043606281280518,[0.35627665],0.45267793333655887,3.312143015921408,3.3121412,4.3217006,2.3025818,0.5077805519104004
2,2,10,[-5.06069134],1.8857370615005493,[0.78902746],0.899853691360451,2.0405065954268786,2.040505,1.7784281,2.3025818,0.15476787090301514
3,3,10,[-2.03511081],0.8221249580383301,[1.33369298],1.6614997583224413,1.1533512528987317,1.1533649,0.004117427,2.3026123,0.3312399387359619
4,4,10,[-5.26137981],2.1243839263916016,[0.75255722],0.8318619956955984,2.1980475388826193,2.1980462,2.0935104,2.3025818,0.07366228103637695
5,5,10,[-5.48354295],2.0480589866638184,[0.71232433],0.8173915214792887,2.233233833103474,2.233232,2.1638825,2.3025818,0.18517303466796875
6,6,10,[-5.29935595],1.6448540687561035,[0.7461149],0.8882456519084965,2.0664941043379423,2.0664926,1.8304033,2.3025818,0.42163848876953125
7,7,10,[-6.05047814],2.5712122917175293,[0.61036208],0.6701076227772668,2.6244568640824295,2.6244552,2.9463286,2.3025818,0.05324292182922363
8,8,10,[-6.04437067],2.3368067741394043,[0.61201132],0.6961291145695433,2.550954705684424,2.5509531,2.7993245,2.3025818,0.21414637565612793
9,9,10,[-6.79274098],2.743262529373169,[0.47725255],0.5717265113460447,2.919349581496143,2.9193478,3.5361137,2.3025818,0.1760852336883545
10,10,10,[-7.35986336],2.9525351524353027,[0.37407357],0.42896827473788424,3.3950726112508978,3.3421311,4.488736,2.1955261,0.38959598541259766
11,11,10,[-6.12061576],2.2542500495910645,[0.59828095],0.6798737701549808,2.5966502198550963,2.5966487,2.8907156,2.3025818,0.34239864349365234
12,12,10,[-5.66220947],2.0098061561584473,[0.6807913],0.8093881116670382,2.2529446793303616,2.252943,2.2033043,2.3025818,0.24313688278198242
13,13,10,[-4.82924412],1.5374985933303833,[0.83071136],0.9136293137930876,2.0101520688935923,1.6648262,1.7182328,1.6114197,0.127327561378479
14,14,10,[-6.4599249],2.4632091522216797,[0.5371766],0.6238031863055623,2.759903076783217,2.7599015,3.2172215,2.3025818,0.2966923713684082
15,15,10,[-4.31992502],1.619248867034912,[0.9223217],1.0470424929513187,1.7434501937348403,1.7434639,1.1843154,2.3026123,0.1242150068283081
16,16,10,[-5.09700546],1.8404803276062012,[0.78251012],0.9089230493644717,2.0204630212564756,2.0204616,1.7383411,2.3025818,0.17998123168945312
17,17,10,[-6.72444456],2.9141111373901367,[0.48951789],0.5506312267529235,2.986082236657425,2.9860802,3.6695788,2.3025818,0.07196903228759766
18,18,10,[-2.95319026],0.9350870847702026,[1.168385],1.4169847032914324,1.2625392939567985,1.262553,0.22249359,2.3026123,0.32746589183807373
19,19,10,[-7.28714408],2.7795562744140625,[0.38794657],0.4970393460161065,3.161173567376685,3.1611722,4.0197625,2.3025818,0.38161587715148926
20,20,10,[-6.04903353],2.2128310203552246,[0.61060678],0.6984340598090469,2.5445346750395057,2.5445328,2.786484,2.3025818,0.33170175552368164
21,21,10,[-5.20431305],1.8692679405212402,[0.76296966],0.843306754332876,2.1706304870132325,2.170629,2.038676,2.3025818,0.301361083984375
22,22,10,[-5.79877735],2.1671993732452393,[0.65596347],0.7236400576968194,2.475290792239065,2.475289,2.6479964,2.3025818,0.3080897331237793
23,23,10,[-7.3145721],2.6897130012512207,[0.38319814],0.4549606085113171,3.304241277550508,3.3042395,4.305897,2.3025818,0.6145265102386475
24,24,10,[-6.20385266],2.406198024749756,[0.58320362],0.6753736616652797,2.6094302315098235,2.6094284,2.9162753,2.3025818,0.2032303810119629
25,25,10,[-4.00645236],1.3116347789764404,[0.97878894],1.1146819125679248,1.6271220791013872,1.6271356,0.95165896,2.3026123,0.3155008554458618
26,26,10,[-5.63523051],1.8377175331115723,[0.68526992],0.7813909531767034,2.3232961310881413,2.3232944,2.344007,2.3025818,0.485576868057251
27,27,10,[-6.44691453],2.2672839164733887,[0.53927601],0.6272241265242628,2.7496926502631767,2.7496908,3.1967998,2.3025818,0.4824068546295166
28,28,10,[-7.36395762],3.1097376346588135,[0.37446992],0.46418982254881824,3.2724408724580236,3.2724395,4.242297,2.3025818,0.16270184516906738
29,29,10,[-8.4428926],3.6352360248565674,[0.18028154],0.28403484245469574,3.93595550119466,3.9359539,5.569326,2.3025818,0.300717830657959
30,30,10,[-3.89937162],1.274050235748291,[0.99795449],1.1812094601068703,1.5251031357784184,1.5251168,0.7476213,2.3026123,0.25106656551361084
31,31,10,[-6.85924727],2.5712060928344727,[0.4652738],0.5810040627652838,2.8903924180911904,2.8903904,3.4781992,2.3025818,0.3191843032836914
32,32,10,[-5.42162155],2.0238077640533447,[0.72410785],0.8392552800310166,2.1802945922671393,2.180293,2.0580044,2.3025818,0.15648531913757324
33,33,10,[-5.04006111],1.8549977540969849,[0.79277781],0.9184160755929861,1.9997278671796184,1.9997262,1.6968706,2.3025818,0.144728422164917
34,34,10,[-3.24287431],1.2670098543167114,[1.11628192],1.2870115949818726,1.3881806335517684,1.3881942,0.4737762,2.3026123,0.1211843490600586
35,35,10,[-6.08150936],2.170417547225952,[0.60529162],0.7239823771411523,2.474362546679017,2.474361,2.6461399,2.3025818,0.303943395614624
36,36,10,[-6.79192244],2.8564438819885254,[0.47752897],0.5594008568473305,2.9581903317200835,2.958189,3.613796,2.3025818,0.1017451286315918
37,37,10,[-5.99207116],2.1619749069213867,[0.62101813],0.7471829768416759,2.4122096015252037,2.412208,2.5218344,2.3025818,0.25023317337036133
38,38,10,[-5.72995062],1.8521316051483154,[0.66849336],0.7633328444916304,2.3698277690083285,2.369826,2.4370704,2.3025818,0.5176944732666016
39,39,10,[-4.71584935],1.8477768898010254,[0.85110813],0.9519747449974818,1.928433910554776,1.9284322,1.5542827,2.3025818,0.08065533638000488
40,40,10,[-5.89017344],2.4726696014404297,[0.63960681],0.6938644722636298,2.557276852293334,2.5572753,2.8119686,2.3025818,0.08460569381713867
41,41,10,[-6.78622178],2.8594865798950195,[0.4783607],0.553884083328753,2.9757115665625404,2.9757102,3.6488385,2.3025818,0.11622357368469238
42,42,10,[-7.23698845],2.9788386821746826,[0.39662289],0.47028235819560693,3.251577933392797,3.2515767,4.2005715,2.3025818,0.272737979888916
43,43,10,[-6.54433467],2.5146517753601074,[0.52200745],0.6132490146429803,2.7916088022948746,2.791607,3.280632,2.3025818,0.27695512771606445
44,44,10,[-6.06666161],2.190030097961426,[0.60798236],0.7229813664471398,2.477077838593548,2.477076,2.6515703,2.3025818,0.287045955657959
45,45,10,[-7.60634571],2.9889159202575684,[0.33065254],0.4219512969033466,3.419915445784575,3.4199138,4.5372458,2.3025818,0.4309978485107422
46,46,10,[-6.55973985],2.6387252807617188,[0.51915362],0.6089452185438772,2.804626624466839,2.8046253,3.3066688,2.3025818,0.16589999198913574
47,47,10,[-9.51649217],4.766531944274902,[-0.01301869],0.048725482883198085,4.938386339384977,4.938386,7.574187,2.3025856,0.17185401916503906
48,48,10,[-5.95746114],2.036348342895508,[0.62699694],0.7032789806590368,2.5310880887138123,2.5310864,2.759591,2.3025818,0.4947381019592285
49,49,10,[-6.04068776],2.4745993614196777,[0.61258097],0.6913040709989932,2.564441820362584,2.5644403,2.8262985,2.3025818,0.08984088897705078
50,0,35,[-6.41932945],2.6171040534973145,[0.54408262],0.6832317352748429,3.213531953178328,3.2135375,2.871716,3.555359,0.5964334011077881
51,1,35,[-4.61142056],1.8465440273284912,[0.86991529],1.0589193775255241,2.3484856481228475,2.348491,1.141623,3.555359,0.5019469261169434
52,2,35,[-4.95190975],1.9506464004516602,[0.80844175],1.0283514091711843,2.4042182384701705,2.4042237,1.2530885,3.555359,0.45357728004455566
53,3,35,[-2.77570705],1.2042744159698486,[1.20037544],1.6614997583224413,1.7797327371464158,1.7797382,0.004117427,3.555359,0.5754637718200684
54,4,35,[-4.53327189],1.8130240440368652,[0.88389737],1.1263645623620138,2.2346984964587677,2.234704,0.9140489,3.555359,0.4216799736022949
55,5,35,[-5.61045726],2.3629202842712402,[0.69011693],0.8173915214792887,2.859615317351158,2.8588796,2.1638958,3.5538635,0.4959592819213867
56,6,35,[-5.41077468],1.8806488513946533,[0.72601755],0.8993931692451893,2.66791194387146,2.6561801,1.7806525,3.5317078,0.7755312919616699
57,7,35,[-6.55005877],2.918384075164795,[0.52088376],0.6701076227772668,3.2508383483301135,3.2508438,2.9463286,3.555359,0.3324596881866455
58,8,35,[-5.71599019],2.160069465637207,[0.67032449],0.7762332839984332,2.9628753440673723,2.9628203,2.3704038,3.5552368,0.802750825881958
59,9,35,[-3.82191348],1.5095369815826416,[1.01205484],1.2611637053747173,2.0451424939119955,2.045148,0.534937,3.555359,0.5356109142303467
